datetime,power_demand
2023-09-29,4764.9695833333335
2023-09-30,4583.974375
2023-10-01,3668.82875
2023-10-02,2858.7029166666666
2023-10-03,2912.3425
2023-10-04,3233.24375
2023-10-05,3968.335833333333
2023-10-06,5253.4075
2023-10-07,4501.207083333334
2023-10-08,5481.988125
2023-10-09,4022.302916666667
2023-10-10,4799.413333333333
2023-10-11,3131.615
2023-10-12,2802.7216666666664
2023-10-13,4360.953541666667
2023-10-14,4277.818125
2023-10-15,4001.2041666666664
2023-10-16,3940.1866666666665
2023-10-17,3414.2641666666664
2023-10-18,3365.23375
2023-10-19,3323.4052083333336
2023-10-20,3347.89125
2023-10-21,3173.471041666666
2023-10-22,3030.0049999999997
2023-10-23,3235.1591666666664
2023-10-24,2891.091458333334
2023-10-25,3233.052291666667
2023-10-26,3288.3391666666666
2023-10-27,3306.5333333333333
2023-10-28,3119.8416666666667
2023-10-29,3048.502291666666
2023-10-30,3322.0002083333334
2023-10-31,3400.8020833333335
2023-11-01,3688.37875
2023-11-02,2719.502916666667
2023-11-03,2839.8908333333334
2023-11-04,3381.89875
2023-11-05,4179.1414583333335
2023-11-06,4964.449166666666
2023-11-07,4650.387083333333
2023-11-08,5575.175416666666
2023-11-09,4479.419583333333
2023-11-10,4469.981458333334
2023-11-11,2835.375
2023-11-12,2966.888333333333
2023-11-13,2358.7433333333333
2023-11-14,2505.9664583333333
2023-11-15,2643.070833333333
2023-11-16,2763.0674999999997
2023-11-17,2862.3799999999997
2023-11-18,2748.3799999999997
2023-11-19,2599.1683333333335
2023-11-20,2773.5908333333336
2023-11-21,2922.4929166666666
2023-11-22,2948.6124999999997
2023-11-23,2971.065
2023-11-24,2990.2197916666664
2023-11-25,2867.210416666667
2023-11-26,2786.096666666667
2023-11-27,2848.0129166666666
2023-11-28,2897.3747916666666
2023-11-29,2883.4395833333333
2023-11-30,2897.337708333333
2023-12-01,3513.5779166666666
2023-12-02,2672.907083333333
2023-12-03,2734.2120833333333
2023-12-04,3560.3375
2023-12-05,4345.625416666667
2023-12-06,5605.870833333333
2023-12-07,4999.41625
2023-12-08,5348.541249999999
2023-12-09,4816.48125
2023-12-10,4263.26625
2023-12-11,2461.2195833333335
